model,epsilon,time_symbol_error,exact_flow_error,connected_error,naive_flow_error
XXX,0.16,0.10597856961180567,0.002476407136555223,0.018747071604607625,0.1661323973338033
XXX,0.08,0.052479474406507465,0.00062132510374617,0.008835194858578487,0.15721228213846747
XXX,0.04,0.026171509831739506,0.0001554703569674069,0.004292533738273029,0.1532390311137942
XXX,0.02,0.013076100111243797,3.8876284082177804e-05,0.0021161439284794765,0.1513675995218567
XXX,0.01,0.0065365641814503364,9.719614172586211e-06,0.0010506816813392215,0.15046001974677245
XXX,0.005,0.0032680268425870494,2.4299407216559203e-06,0.0005235106870197993,0.15001319028332186
Class5,0.16,0.11281031877213617,0.003935296799723893,0.06409986979495981,0.4333446783459381
Class5,0.08,0.05423141107734674,0.0009874587111276488,0.03090031575127201,0.3999080867427309
Class5,0.04,0.026708177799726125,0.00024709200655731814,0.015203679254646954,0.38435245485581815
Class5,0.02,0.013269595582704881,6.178721278672522e-05,0.007545101035463155,0.37683251230080067
Class5,0.01,0.006615875584963884,1.544769202977913e-05,0.0037589627244012684,0.3731332226590094
Class5,0.005,0.003303484153817087,3.861979334677792e-06,0.0018761582317591424,0.3712982935425507
