model,epsilon,time_symbol_error,exact_leading_error,exact_full_spatial_error,connected_error,factorized_error
XXX,0.16,0.10597856961180599,0.0024764071365554778,0.0024764071365554778,0.018747071604610355,0.16613239733380483
XXX,0.08,0.052479474406507694,0.000621325103745054,0.000621325103745054,0.008835194858586642,0.1572122821384724
XXX,0.04,0.026171509831739603,0.00015547035696370057,0.00015547035696370057,0.004292533738267511,0.1532390311137786
XXX,0.02,0.013076100111243489,3.887628398027798e-05,3.887628398027798e-05,0.0021161439284257946,0.15136759952179846
XXX,0.01,0.006536564181450254,9.71961423690298e-06,9.71961423690298e-06,0.001050681680921683,0.1504600197467025
XXX,0.005,0.003268026842586235,2.429939671732929e-06,2.429939671732929e-06,0.0005235106861116674,0.15001319028241913
Class6,0.16,0.0971992344435861,0.12959504405642733,0.005514015613973169,0.09449214782575298,0.7889696312207504
Class6,0.08,0.04790454014359882,0.06432136140858062,0.001310591273348358,0.04645241067879211,0.7522237992972778
Class6,0.04,0.023840509257639735,0.03203279167996695,0.0003188671266692542,0.02302067742163688,0.7346250823620677
Class6,0.02,0.011899969275112573,0.01598328844505743,7.860379227863863e-05,0.011458042004043888,0.7259958594759647
Class6,0.01,0.005945866019338635,0.007983223445803102,1.9510951467399512e-05,0.005715832358080873,0.7217211988943162
Class6,0.005,0.0029720222486136374,0.003989488407968257,4.860194272909998e-06,0.0028546047412843483,0.7195935542364038
