stage,step,train_objective,validation_mse,beta,alpha5,lambda_imag,seed
adam,0,2.167329968741994,1.8304939649116374,0.35524902725107543,0.8,0.7142857142857143,0
adam,10,0.3507687492543787,0.3113142773089928,0.06988430046443701,0.8,0.7142857142857143,0
adam,20,0.06825872031333706,0.07043509855238231,-0.11965098611578796,0.8,0.7142857142857143,0
adam,30,0.04832438349070222,0.041738132844517654,-0.12928269641474088,0.8,0.7142857142857143,0
adam,40,0.013355626763533343,0.01224207262606998,-0.039157900848915496,0.8,0.7142857142857143,0
adam,50,0.011645239568684537,0.010970046980507664,0.014569430547780383,0.8,0.7142857142857143,0
adam,60,0.0044063011130025045,0.004178676172282524,0.008612219406770455,0.8,0.7142857142857143,0
adam,70,0.0029491347792123305,0.002895365320277942,0.006430061617894079,0.8,0.7142857142857143,0
adam,80,0.0019195723266650824,0.00181624659828957,0.028717274583184547,0.8,0.7142857142857143,0
adam,90,0.0012962930050536274,0.0012590821846809542,0.04824363006618346,0.8,0.7142857142857143,0
adam,100,0.0008585237339000626,0.0008273158043743605,0.05621941066132127,0.8,0.7142857142857143,0
adam,110,0.0005850870737957435,0.0005541289461093459,0.06473919398056337,0.8,0.7142857142857143,0
adam,120,0.0003782804821646803,0.0003597161190824827,0.07552109062287284,0.8,0.7142857142857143,0
adam,130,0.00024435299515113623,0.00023296027267124796,0.08344600886063627,0.8,0.7142857142857143,0
adam,140,0.0001530857913769299,0.00014468618182463477,0.08926697531225439,0.8,0.7142857142857143,0
adam,150,9.371387302307441e-05,8.83160365952205e-05,0.09483151641803839,0.8,0.7142857142857143,0
adam,160,5.614595788179086e-05,5.2913357625983e-05,0.0993799048911187,0.8,0.7142857142857143,0
adam,170,3.274775871025218e-05,3.07304847055068e-05,0.10279369225858474,0.8,0.7142857142857143,0
adam,180,1.863748398043288e-05,1.7452510985736317e-05,0.10563754670552379,0.8,0.7142857142857143,0
adam,190,1.0335586525635237e-05,9.661902701973319e-06,0.1078860032937625,0.8,0.7142857142857143,0
adam,200,5.57784952162943e-06,5.193137613360332e-06,0.1095668311388803,0.8,0.7142857142857143,0
adam,210,2.9278580158212842e-06,2.7182327386482716e-06,0.11087342378018607,0.8,0.7142857142857143,0
adam,220,1.4930381683067294e-06,1.3815296304281927e-06,0.11185904422533553,0.8,0.7142857142857143,0
adam,230,7.389159244902656e-07,6.808708307513868e-07,0.11257776879045668,0.8,0.7142857142857143,0
adam,240,3.5451937625722685e-07,3.248566769673924e-07,0.113106808734731,0.8,0.7142857142857143,0
adam,250,1.6482933684157435e-07,1.497512328324257e-07,0.11348581249589294,0.8,0.7142857142857143,0
adam,260,7.435386966738603e-08,6.656306425890584e-08,0.1137516900195648,0.8,0.7142857142857143,0
adam,270,3.273771682985981e-08,2.841580767212812e-08,0.11393714732830201,0.8,0.7142857142857143,0
adam,280,1.432672963542254e-08,1.1618699654974293e-08,0.11406281856532899,0.8,0.7142857142857143,0
adam,290,6.519602903256712e-09,4.523780431612181e-09,0.1141465075093699,0.8,0.7142857142857143,0
